Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 22, 2026",,,Triple Double,no,no,1,6709
"Jan 21, 2026",,,Airball / Air Ball,yes,no,99,15371
"Jan 21, 2026",,,All-Star,yes,no,99,6567
"Jan 21, 2026",,,Alley-oop,yes,no,99,12789
"Jan 21, 2026",,,Ankle,yes,no,99,5479
"Jan 21, 2026",,,Buzzer,no,no,2,54174
"Jan 21, 2026",,,Elbow,no,no,2,27296
"Jan 21, 2026",,,Fiserv,yes,yes,99,9668
"Jan 21, 2026",,,Injury / Injured,yes,no,99,7196
"Jan 21, 2026",,,Jordan,yes,no,99,13500
"Jan 21, 2026",,,MVP,yes,no,99,11864
"Jan 21, 2026",,,Playoff,yes,no,99,3405
"Jan 21, 2026",,,Retire / Retired / Retirement,no,no,2,19824
"Jan 21, 2026",,,Tech / Technical,yes,no,99,6046
"Jan 21, 2026",,,Trade / Trades / Traded,yes,no,99,6121
"Jan 21, 2026",,,Triple Double,yes,no,99,7414
"Jan 21, 2026",,,Airball / Air Ball,yes,no,99,14305
"Jan 21, 2026",,,All-Star,no,no,1,30147
"Jan 21, 2026",,,Alley-oop,yes,no,99,12850
"Jan 21, 2026",,,Ankle,no,no,1,15568
"Jan 21, 2026",,,Buzzer,yes,no,99,17909
"Jan 21, 2026",,,Elbow,yes,no,99,8259
"Jan 21, 2026",,,Injury / Injured,yes,no,99,8065
"Jan 21, 2026",,,Jordan,no,no,1,5886
"Jan 21, 2026",,,MVP,yes,no,99,5154
"Jan 21, 2026",,,Playoff,yes,no,99,5483
"Jan 21, 2026",,,Retire / Retired / Retirement,yes,no,99,14512
"Jan 21, 2026",,,Spectrum,no,yes,1,25308
"Jan 21, 2026",,,Tech / Technical,yes,no,99,5516
"Jan 21, 2026",,,Trade / Trades / Traded,no,no,1,7858
"Jan 21, 2026",,,Triple Double,no,no,1,5010
"Jan 20, 2026",,,Airball / Air Ball,no,no,1,13388
"Jan 20, 2026",,,All-Star,yes,no,99,7820
"Jan 20, 2026",,,Alley-oop,yes,no,99,11167
"Jan 20, 2026",,,Ankle,yes,no,99,4951
"Jan 20, 2026",,,Buzzer,no,no,1,17187
"Jan 20, 2026",,,Elbow,yes,no,99,6091
"Jan 20, 2026",,,Injury / Injured,yes,no,99,11715
"Jan 20, 2026",,,Jordan,no,no,1,6339
"Jan 20, 2026",,,MVP,no,no,1,11694
"Jan 20, 2026",,,Playoff,yes,no,99,5305
"Jan 20, 2026",,,Retire / Retired / Retirement,no,no,1,8512
"Jan 20, 2026",,,Tech / Technical,no,no,1,10593
"Jan 20, 2026",,,Toyota,yes,yes,99,10871
"Jan 20, 2026",,,Trade / Trades / Traded,no,no,1,8230
"Jan 20, 2026",,,Triple Double,yes,no,99,10637
"Jan 20, 2026",,,Airball / Air Ball,yes,no,99,8935
"Jan 20, 2026",,,All-Star,yes,no,99,12478
"Jan 20, 2026",,,Alley-oop,no,no,1,4601
"Jan 20, 2026",,,Ankle,no,no,1,4129
"Jan 20, 2026",,,Ball Arena,yes,yes,99,7304
"Jan 20, 2026",,,Buzzer,no,no,1,11525
"Jan 20, 2026",,,Elbow,yes,no,99,8816
