Game,Strike,Result,Last Price,Volume
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Buzzer,no,1,39859
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Elbow,yes,99,7480
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Injury / Injured,yes,99,11974
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Jordan,yes,99,6265
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",MVP,yes,99,3155
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Playoff,yes,99,3641
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Retire / Retired / Retirement,no,1,18942
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Rocket,yes,99,18020
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Tech / Technical,yes,99,4948
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Trade / Trades / Traded,yes,99,109647
"Los Angeles L at Cleveland professional basketball game originally scheduled for Jan 28, 2026",Triple Double,no,1,15253
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Airball / Air Ball,no,1,4353
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",All-Star,yes,99,5519
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Alley-oop,yes,99,10233
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Ankle,yes,99,4591
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Buzzer,yes,99,17062
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Elbow,yes,99,6662
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Injury / Injured,yes,99,8559
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Jordan,no,1,3505
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",MVP,yes,99,4113
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Playoff,yes,99,6102
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Retire / Retired / Retirement,no,1,4818
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Tech / Technical,yes,99,8019
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Trade / Trades / Traded,no,1,7382
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Triple Double,yes,99,9914
"Milwaukee at Philadelphia professional basketball game originally scheduled for Jan 27, 2026",Xfinity,yes,99,5327
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Airball / Air Ball,no,1,8945
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",All-Star,yes,99,4429
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Alley-oop,no,1,12612
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Ankle,no,1,8500
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Buzzer,yes,99,9457
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Delta,yes,99,12034
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Elbow,yes,99,12198
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Injury / Injured,no,1,25434
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Jordan,yes,99,17684
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",MVP,yes,99,6873
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Playoff,yes,99,5912
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Retire / Retired / Retirement,no,1,7467
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Tech / Technical,no,1,20256
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Trade / Trades / Traded,no,1,8662
"Los Angeles C at Utah professional basketball game originally scheduled for Jan 27, 2026",Triple Double,yes,99,9868
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Airball / Air Ball,no,1,14987
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",All-Star,yes,99,7088
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Alley-oop,yes,99,11809
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Ankle,no,1,9689
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Buzzer,yes,99,25201
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Elbow,yes,94,8538
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Injury / Injured,yes,99,8252
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Jordan,yes,99,16590
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",MVP,yes,99,6426
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Playoff,yes,99,2879
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Retire / Retired / Retirement,yes,99,16633
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",TD Garden,yes,99,9373
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Tech / Technical,yes,99,4009
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Trade / Trades / Traded,yes,99,6544
